Time: 3749.00, Colonized: 40, Detected: 25, Isolated: 25
Time: 3750.00, Colonized: 41, Detected: 27, Isolated: 27
Time: 3750.00, Colonized: 41, Detected: 27, Isolated: 27
Time: 3751.00, Colonized: 40, Detected: 26, Isolated: 26
Time: 3751.00, Colonized: 40, Detected: 26, Isolated: 26
Time: 3752.00, Colonized: 37, Detected: 24, Isolated: 24
Time: 3752.00, Colonized: 37, Detected: 24, Isolated: 24
Time: 3753.00, Colonized: 37, Detected: 28, Isolated: 28
Time: 3753.00, Colonized: 37, Detected: 28, Isolated: 28
Time: 3754.00, Colonized: 38, Detected: 28, Isolated: 28
Time: 3754.00, Colonized: 38, Detected: 28, Isolated: 28
Time: 3755.00, Colonized: 37, Detected: 27, Isolated: 27
Time: 3755.00, Colonized: 37, Detected: 27, Isolated: 27
Time: 3756.00, Colonized: 34, Detected: 23, Isolated: 23
Time: 3756.00, Colonized: 34, Detected: 23, Isolated: 23
Time: 3757.00, Colonized: 33, Detected: 21, Isolated: 21
Time: 3757.00, Colonized: 33, Detected: 21, Isolated: 21
Time: 3758.00, Colonized: 32, Detected: 21, Isolated: 21
Time: 3758.00, Colonized: 32, Detected: 21, Isolated: 21
Time: 3759.00, Colonized: 32, Detected: 20, Isolated: 20
Time: 3759.00, Colonized: 32, Detected: 20, Isolated: 20
Time: 3760.00, Colonized: 31, Detected: 19, Isolated: 19
Time: 3760.00, Colonized: 31, Detected: 19, Isolated: 19
Time: 3761.00, Colonized: 29, Detected: 20, Isolated: 20
Time: 3761.00, Colonized: 29, Detected: 20, Isolated: 20
Time: 3762.00, Colonized: 30, Detected: 19, Isolated: 19
Time: 3762.00, Colonized: 30, Detected: 19, Isolated: 19
Time: 3763.00, Colonized: 31, Detected: 19, Isolated: 19
Time: 3763.00, Colonized: 31, Detected: 19, Isolated: 19
Time: 3764.00, Colonized: 29, Detected: 18, Isolated: 18
Time: 3764.00, Colonized: 29, Detected: 18, Isolated: 18
Time: 3765.00, Colonized: 30, Detected: 18, Isolated: 18
Time: 3765.00, Colonized: 30, Detected: 18, Isolated: 18
Time: 3766.00, Colonized: 31, Detected: 18, Isolated: 18
Time: 3766.00, Colonized: 31, Detected: 18, Isolated: 18
Time: 3767.00, Colonized: 35, Detected: 20, Isolated: 20
Time: 3767.00, Colonized: 35, Detected: 20, Isolated: 20
Time: 3768.00, Colonized: 33, Detected: 18, Isolated: 18
Time: 3768.00, Colonized: 33, Detected: 18, Isolated: 18
Time: 3769.00, Colonized: 32, Detected: 17, Isolated: 17
Time: 3769.00, Colonized: 32, Detected: 17, Isolated: 17
Time: 3770.00, Colonized: 32, Detected: 14, Isolated: 14
Time: 3770.00, Colonized: 32, Detected: 14, Isolated: 14
Time: 3771.00, Colonized: 34, Detected: 16, Isolated: 16
Time: 3771.00, Colonized: 34, Detected: 16, Isolated: 16
Time: 3772.00, Colonized: 33, Detected: 15, Isolated: 15
Time: 3772.00, Colonized: 33, Detected: 15, Isolated: 15
Time: 3773.00, Colonized: 37, Detected: 16, Isolated: 16
Time: 3773.00, Colonized: 37, Detected: 16, Isolated: 16
Time: 3774.00, Colonized: 39, Detected: 18, Isolated: 18
Time: 3774.00, Colonized: 39, Detected: 18, Isolated: 18
Time: 3775.00, Colonized: 40, Detected: 20, Isolated: 20
Time: 3775.00, Colonized: 40, Detected: 20, Isolated: 20
Time: 3776.00, Colonized: 41, Detected: 22, Isolated: 22
Time: 3776.00, Colonized: 41, Detected: 22, Isolated: 22
Time: 3777.00, Colonized: 40, Detected: 25, Isolated: 25
Time: 3777.00, Colonized: 40, Detected: 25, Isolated: 25
Time: 3778.00, Colonized: 45, Detected: 25, Isolated: 25
Time: 3778.00, Colonized: 45, Detected: 25, Isolated: 25
Time: 3779.00, Colonized: 46, Detected: 26, Isolated: 26
Time: 3779.00, Colonized: 46, Detected: 26, Isolated: 26
Time: 3780.00, Colonized: 43, Detected: 24, Isolated: 24
Time: 3780.00, Colonized: 43, Detected: 24, Isolated: 24
Time: 3781.00, Colonized: 41, Detected: 23, Isolated: 23
Time: 3781.00, Colonized: 41, Detected: 23, Isolated: 23
Time: 3782.00, Colonized: 44, Detected: 27, Isolated: 27
Time: 3782.00, Colonized: 44, Detected: 27, Isolated: 27
Time: 3783.00, Colonized: 40, Detected: 24, Isolated: 24
Time: 3783.00, Colonized: 40, Detected: 24, Isolated: 24
Time: 3784.00, Colonized: 38, Detected: 24, Isolated: 24
Time: 3784.00, Colonized: 38, Detected: 24, Isolated: 24
Time: 3785.00, Colonized: 38, Detected: 24, Isolated: 24
Time: 3785.00, Colonized: 38, Detected: 24, Isolated: 24
Time: 3786.00, Colonized: 38, Detected: 23, Isolated: 23
Time: 3786.00, Colonized: 38, Detected: 23, Isolated: 23
Time: 3787.00, Colonized: 40, Detected: 24, Isolated: 24
Time: 3787.00, Colonized: 40, Detected: 24, Isolated: 24
Time: 3788.00, Colonized: 40, Detected: 22, Isolated: 22
Time: 3788.00, Colonized: 40, Detected: 22, Isolated: 22
Time: 3789.00, Colonized: 36, Detected: 20, Isolated: 20
Time: 3789.00, Colonized: 36, Detected: 20, Isolated: 20
Time: 3790.00, Colonized: 36, Detected: 22, Isolated: 22
Time: 3790.00, Colonized: 36, Detected: 22, Isolated: 22
Time: 3791.00, Colonized: 35, Detected: 25, Isolated: 25
Time: 3791.00, Colonized: 35, Detected: 25, Isolated: 25
Time: 3792.00, Colonized: 31, Detected: 23, Isolated: 23
Time: 3792.00, Colonized: 31, Detected: 23, Isolated: 23
Time: 3793.00, Colonized: 32, Detected: 23, Isolated: 23
Time: 3793.00, Colonized: 32, Detected: 23, Isolated: 23
Time: 3794.00, Colonized: 29, Detected: 21, Isolated: 21
Time: 3794.00, Colonized: 29, Detected: 21, Isolated: 21
Time: 3795.00, Colonized: 31, Detected: 19, Isolated: 19
Time: 3795.00, Colonized: 31, Detected: 19, Isolated: 19
Time: 3796.00, Colonized: 30, Detected: 21, Isolated: 21
Time: 3796.00, Colonized: 30, Detected: 21, Isolated: 21
Time: 3797.00, Colonized: 27, Detected: 19, Isolated: 19
Time: 3797.00, Colonized: 27, Detected: 19, Isolated: 19
Time: 3798.00, Colonized: 21, Detected: 16, Isolated: 16
Time: 3798.00, Colonized: 21, Detected: 16, Isolated: 16
Time: 3799.00, Colonized: 20, Detected: 14, Isolated: 14
Time: 3799.00, Colonized: 20, Detected: 14, Isolated: 14
Time: 3800.00, Colonized: 20, Detected: 13, Isolated: 13
Time: 3800.00, Colonized: 20, Detected: 13, Isolated: 13
Time: 3801.00, Colonized: 22, Detected: 15, Isolated: 15
Time: 3801.00, Colonized: 22, Detected: 15, Isolated: 15
Time: 3802.00, Colonized: 22, Detected: 12, Isolated: 12
Time: 3802.00, Colonized: 22, Detected: 12, Isolated: 12
Time: 3803.00, Colonized: 20, Detected: 11, Isolated: 11
Time: 3803.00, Colonized: 20, Detected: 11, Isolated: 11
Time: 3804.00, Colonized: 23, Detected: 11, Isolated: 11
Time: 3804.00, Colonized: 23, Detected: 11, Isolated: 11
Time: 3805.00, Colonized: 25, Detected: 11, Isolated: 11
Time: 3805.00, Colonized: 25, Detected: 11, Isolated: 11
Time: 3806.00, Colonized: 25, Detected: 11, Isolated: 11
Time: 3806.00, Colonized: 25, Detected: 11, Isolated: 11
